,nearest_miles,Intensity_5 miles,Intensity_10 miles,Intensity_20 miles,Intensity_30 miles,intensity_50 miles,Intensity_100 miles,Intensity_200 miles,,
7410,2,2,2,11,13,20,33,61,,
7416,20,0,0,0,3,14,34,63,,
7417,6,0,2,5,13,17,33,61,,
7423,4,1,3,8,13,21,33,61,,
7424,3,1,2,10,14,17,33,63,,
7428,23,0,0,0,3,15,34,62,,
7430,9,0,1,4,12,18,33,60,,
7432,5,0,2,8,13,17,33,61,,
7436,8,0,1,4,12,18,33,61,,
7438,12,0,0,2,6,14,33,63,,
7440,6,0,2,6,13,17,33,63,,
7442,8,0,1,5,13,16,34,63,,
7444,7,0,2,5,13,17,33,63,,
7446,8,0,3,5,12,18,33,60,,
7450,3,1,2,9,13,20,33,61,,
7452,3,2,2,10,13,20,33,61,,
7458,7,0,2,6,12,21,33,60,,
7461,28,0,0,0,1,12,34,61,,
7462,22,0,0,0,4,15,34,62,,
7470,4,1,2,7,13,17,34,62,,
7474,4,1,2,7,13,17,34,62,,
7481,5,0,2,6,13,17,33,61,,
7495,11,0,0,4,12,18,33,60,,
7503,1,1,2,11,14,20,33,61,,
7506,2,2,2,8,13,18,33,61,,
7507,2,2,2,8,13,18,33,61,,
7508,2,1,2,8,13,18,33,61,,
7509,0,1,2,10,14,18,33,62,,
7511,2,1,2,9,14,17,34,62,,
7512,2,1,2,9,14,17,34,62,,
7522,0,1,2,10,13,18,33,62,,
7524,1,2,2,9,13,20,33,61,,
7543,1,2,2,11,14,20,33,62,,
7601,4,1,3,12,13,21,33,60,,
7602,4,1,3,12,13,21,33,60,,
7603,5,0,4,11,14,21,33,60,,
7604,5,0,3,13,14,20,33,61,,
7605,4,1,3,11,14,21,32,61,,
7606,5,0,3,12,13,21,33,60,,
7607,3,1,3,11,13,21,33,60,,
7608,6,0,3,13,14,20,33,60,,
7620,7,0,3,9,15,20,33,61,,
7624,5,0,2,10,14,20,33,61,,
7630,2,1,3,10,13,20,33,61,,
7631,6,0,3,10,14,21,32,61,,
7632,5,0,3,10,14,21,32,61,,
7640,5,0,2,8,13,21,32,61,,
7643,6,0,4,12,14,21,33,60,,
7644,4,1,3,12,14,20,33,61,,
7645,4,1,2,6,11,21,33,60,,
7647,6,0,3,7,13,21,33,60,,
7648,4,1,4,11,14,21,31,60,,
7652,0,1,2,11,13,21,33,60,,
7653,0,1,2,11,13,21,33,60,,
7656,5,0,2,6,13,21,33,60,,
7657,3,1,6,11,14,21,32,60,,
7660,5,0,5,11,14,21,32,60,,
7661,2,1,2,10,13,21,33,60,,
7662,3,2,2,11,13,20,33,61,,
7663,3,2,2,11,13,20,33,61,,
7666,4,1,4,10,14,21,32,61,,
7670,5,0,3,10,14,21,32,61,,
7675,4,1,3,8,13,21,33,61,,
7676,4,1,2,7,13,21,33,60,,
7677,5,0,3,6,13,21,33,59,,
7701,13,0,0,2,8,16,33,60,,
7702,12,0,0,2,7,15,32,59,,
7704,14,0,0,2,8,16,33,59,,
7712,12,0,0,1,3,15,30,58,,
7716,13,0,0,2,9,17,32,59,,
7719,12,0,0,1,3,12,30,56,,
7721,10,0,0,4,9,17,33,60,,
7722,6,0,1,2,7,15,32,60,,
7723,14,0,0,1,3,15,30,58,,
7724,11,0,0,1,5,15,32,58,,
7726,4,1,1,2,5,17,31,58,,
7727,6,0,1,1,3,14,30,56,,
7728,0,1,1,2,4,16,30,57,,
7730,13,0,0,4,9,17,33,61,,
7731,7,0,1,1,3,12,31,57,,
7733,11,0,0,3,7,16,32,60,,
7735,12,0,0,4,9,17,33,61,,
7738,10,0,0,3,7,15,32,59,,
7739,13,0,0,2,7,15,33,59,,
7740,15,0,0,1,5,15,31,58,,
7747,11,0,0,3,7,17,32,60,,
7748,13,0,0,3,9,17,33,60,,
7751,7,0,1,3,8,17,32,60,,
7753,11,0,0,1,3,14,31,56,,
7755,13,0,0,1,4,15,31,58,,
7757,14,0,0,1,5,15,32,58,,
7760,16,0,0,2,8,16,32,59,,
7762,14,0,0,1,1,12,30,56,,
7763,3,1,1,2,5,17,30,58,,
7764,13,0,0,1,5,15,31,58,,
7801,8,0,1,2,5,15,34,63,,
7822,24,0,0,0,1,13,34,64,,
7826,14,0,0,1,5,15,34,63,,
7828,17,0,0,0,2,15,33,64,,
7830,23,0,0,0,3,14,34,63,,
7834,4,1,1,4,10,16,34,63,,
7836,15,0,0,1,5,16,35,64,,
7840,22,0,0,0,2,14,34,64,,
7848,21,0,0,0,2,15,34,63,,
7849,12,0,0,1,5,15,34,62,,
7850,13,0,0,1,5,17,34,63,,
7853,20,0,0,0,3,17,34,64,,
7856,12,0,0,1,5,16,34,63,,
7860,24,0,0,0,1,12,35,64,,
7866,6,0,1,3,9,15,33,64,,
7890,26,0,0,0,1,10,34,63,,
7901,2,1,1,8,12,17,35,63,,
7902,2,1,1,8,12,17,35,63,,
7920,10,0,0,3,7,18,35,63,,
7921,15,0,0,3,5,7,34,64,,
7922,3,1,1,5,10,17,35,62,,
7924,12,0,0,3,6,18,35,63,,
7927,3,1,1,4,10,16,35,63,,
7928,4,1,2,6,11,17,35,63,,
7930,14,0,0,2,5,17,35,64,,
7931,14,0,0,3,6,17,35,64,,
7932,5,0,2,6,12,17,35,63,,
7934,16,0,0,2,5,17,35,64,,
7936,3,1,2,5,13,17,35,63,,
7938,11,0,0,3,6,18,34,63,,
7940,6,0,2,5,11,17,35,63,,
7946,8,0,1,4,9,18,35,62,,
7950,3,1,1,4,10,16,35,63,,
7960,6,0,1,5,10,17,35,63,,
7962,5,0,1,4,10,17,35,63,,
7974,2,1,1,6,11,17,35,63,,
7977,15,0,0,3,5,17,35,64,,
7981,2,1,1,4,10,17,35,63,,
8002,0,1,2,3,5,8,28,56,,
8003,4,1,1,2,5,8,28,55,,
8004,14,0,0,1,3,8,26,55,,
8009,12,0,0,2,3,8,26,54,,
8011,16,0,0,2,5,9,29,56,,
8012,10,0,0,2,5,7,26,56,,
8016,11,0,0,4,5,11,29,56,,
8021,8,0,1,2,5,8,26,54,,
8030,4,1,2,3,6,7,26,56,,
8031,5,0,2,2,6,7,26,56,,
8033,2,1,2,2,6,8,26,55,,
8034,1,1,2,2,5,8,28,55,,
8037,14,0,0,1,3,8,25,53,,
8043,6,0,1,2,5,8,27,55,,
8048,11,0,0,3,4,9,28,56,,
8052,2,1,2,3,5,8,29,56,,
8053,8,0,1,2,5,8,27,55,,
8054,5,0,1,2,5,9,28,56,,
8055,11,0,0,2,4,8,28,55,,
8057,4,1,1,3,5,9,28,56,,
8059,5,0,2,2,6,8,26,56,,
8060,13,0,0,3,4,9,27,56,,
8066,9,0,1,3,5,8,25,58,,
8069,4,1,1,1,4,7,23,57,,
8070,6,0,1,1,2,7,21,58,,
8071,15,0,0,2,4,8,25,58,,
8075,7,0,1,4,5,10,29,56,,
8077,4,1,2,4,5,10,30,56,,
8078,6,0,2,2,5,7,26,56,,
8080,13,0,0,2,5,8,26,58,,
8086,8,0,1,2,5,7,26,58,,
8088,19,0,0,1,4,9,27,55,,
8091,10,0,0,2,5,8,27,54,,
8103,2,2,2,4,6,8,27,57,,
8104,3,2,2,4,6,8,27,56,,
8108,2,2,2,3,6,8,27,57,,
8109,2,1,2,4,5,8,29,58,,
8110,2,2,2,4,5,9,29,58,,
8210,24,0,0,0,1,2,11,51,,
8215,7,0,1,1,1,4,24,53,,
8221,8,0,1,1,1,2,18,53,,
8223,12,0,0,1,1,2,13,52,,
8226,12,0,0,1,1,1,13,53,,
8232,7,0,1,1,1,3,18,52,,
8234,6,0,1,1,1,3,19,52,,
8302,25,0,0,0,3,6,18,56,,
8310,12,0,0,1,2,8,22,56,,
8360,16,0,0,1,1,7,20,56,,
8361,13,0,0,1,1,6,19,55,,
8401,14,0,0,1,1,2,16,51,,
8402,12,0,0,1,1,2,16,52,,
8505,6,0,1,1,5,11,31,56,,
8512,12,0,0,3,5,18,34,59,,
8518,7,0,1,3,6,11,31,56,,
8520,12,0,0,3,4,16,34,59,,
8525,11,,0,1,5,15,34,59,,
8527,8,0,1,1,3,12,31,58,,
8528,13,0,0,3,4,18,35,60,,
8534,7,0,1,1,4,14,32,58,,
8536,12,0,0,3,4,17,34,59,,
8540,10,0,0,2,5,16,34,60,,
8542,10,0,0,2,5,16,34,60,,
8543,8,0,1,2,5,15,34,59,,
8550,9,0,1,3,5,16,34,59,,
8554,7,0,1,2,5,12,30,56,,
8558,14,0,0,2,5,18,35,61,,
8561,9,0,1,2,3,13,34,58,,
8562,13,0,0,1,4,10,30,55,,
8605,0,1,1,1,6,12,32,57,,
8611,1,1,1,1,6,12,32,56,,
8618,1,1,1,2,6,12,32,57,,
8619,3,1,1,1,5,14,32,58,,
8620,6,0,1,1,5,12,31,57,,
8628,4,1,1,2,6,12,32,57,,
8638,2,1,1,1,6,12,32,57,,
8648,4,1,1,1,5,14,32,58,,
8690,5,0,1,1,5,14,32,58,,
8691,7,0,1,2,5,14,33,56,,
8701,11,0,0,1,1,10,31,56,,
8723,15,0,0,1,1,9,31,56,,
8731,27,0,0,0,1,5,29,54,,
8742,16,0,0,1,1,9,29,56,,
8753,19,0,0,1,1,7,30,54,,
8755,17,0,0,1,1,9,30,55,,
8801,26,0,0,0,5,16,34,63,,
8804,17,0,0,1,1,11,34,59,,
8807,12,0,0,2,7,17,34,63,,
8809,25,0,0,0,3,15,34,63,,
8810,11,0,0,3,5,19,34,59,,
8812,7,0,2,4,9,18,35,62,,
8816,5,0,1,3,9,16,34,59,,
8817,0,1,1,5,10,17,34,62,,
8818,0,1,1,5,10,17,34,62,,
8820,4,1,2,5,12,18,35,62,,
8822,21,0,0,0,4,15,34,60,,
8825,20,0,0,0,3,12,33,58,,
8826,25,0,0,0,3,14,34,63,,
8827,23,0,0,0,1,11,34,62,,
8829,27,0,0,0,4,14,34,63,,
8830,5,0,2,6,12,17,35,63,,
8831,11,0,0,3,5,17,33,59,,
8833,24,0,0,0,4,15,34,63,,
8837,2,1,1,5,10,18,35,62,,
8852,11,0,0,3,5,19,34,59,,
8854,4,1,2,4,10,18,34,62,,
8855,4,1,1,2,9,17,34,63,,
8857,8,0,1,4,8,17,34,60,,
8859,5,0,1,4,9,18,34,60,,
8861,6,0,1,7,11,17,35,62,,
8863,4,1,1,4,11,17,35,62,,
8865,13,0,0,1,1,8,31,60,,
8869,13,0,0,2,7,17,34,63,,
8872,4,1,1,4,9,18,34,60,,
8873,5,0,1,2,8,18,34,62,,
8875,7,0,1,2,7,17,34,62,,
8876,17,0,0,2,7,19,34,63,,
8882,5,0,1,4,9,16,34,60,,
8889,19,0,0,1,4,18,34,63,,
8901,3,1,1,3,9,17,34,62,,
8902,6,0,1,3,7,18,33,61,,
8933,3,1,1,3,9,17,34,62,,
9123,0,0,0,0,0,0,0,0,,
9760,0,,0,0,0,0,0,0,,
10001,2,3,5,10,15,19,33,59,,
10002,1,2,6,10,15,19,33,59,,
10003,1,2,5,10,15,19,33,59,,
10004,0,2,6,10,15,19,32,59,,
10005,0,2,6,10,15,19,32,59,,
10006,0,2,6,10,15,19,32,59,,
10007,0,2,6,10,15,19,32,59,,
10008,0,2,6,10,15,19,32,59,,
10009,1,2,4,9,15,19,33,59,,
10010,2,3,5,9,15,19,33,59,,
10011,2,2,5,10,15,19,33,59,,
10012,0,2,6,10,15,19,33,59,,
10013,0,2,6,10,15,19,32,59,,
10014,1,2,5,10,15,19,33,59,,
10016,2,3,5,9,15,19,33,59,,
10017,3,3,5,9,15,19,33,59,,
10018,2,3,5,10,15,19,33,59,,
10019,3,3,5,9,15,19,33,59,,
10020,3,3,5,9,15,19,33,59,,
10021,2,2,5,9,15,20,32,58,,
10022,3,3,5,9,15,20,33,58,,
10023,3,2,5,9,15,20,32,58,,
10024,2,1,5,9,15,21,32,59,,
10025,1,1,5,10,15,21,32,60,,
10027,1,1,5,10,14,21,32,61,,
10028,1,1,5,9,15,21,32,60,,
10031,1,1,5,11,14,21,32,61,,
10032,1,1,4,11,14,21,32,61,,
10033,3,2,4,11,14,21,32,61,,
10034,4,2,4,10,14,21,32,61,,
10035,0,1,5,10,14,21,32,60,,
10036,3,3,6,9,15,19,33,59,,
10038,0,2,6,10,15,19,32,59,,
10039,1,1,5,11,14,21,32,61,,
10040,3,2,4,11,14,21,32,61,,
10041,0,2,6,10,15,19,32,59,,
10043,3,3,5,9,15,20,33,58,,
10055,3,3,5,9,15,20,33,58,,
10065,2,2,5,9,15,20,32,58,,
10075,2,2,5,9,15,20,32,58,,
10080,0,2,5,10,15,19,31,59,,
10081,0,2,6,10,15,19,32,59,,
10103,3,3,5,9,15,20,33,58,,
10104,3,3,5,9,15,20,33,59,,
10105,3,3,5,9,15,20,33,58,,
10106,3,3,5,9,15,20,33,58,,
10107,3,3,6,9,15,19,33,59,,
10110,2,1,4,9,15,19,33,59,,
10111,3,3,5,9,15,19,33,59,,
10112,3,3,5,9,15,19,33,59,,
10116,1,1,5,10,14,21,32,61,,
10117,2,3,5,10,15,19,33,59,,
10118,2,3,5,10,15,19,33,59,,
10119,2,3,5,10,15,19,33,59,,
10120,2,3,5,10,15,19,33,59,,
10121,2,3,5,10,15,19,33,59,,
10123,2,3,5,10,15,19,33,59,,
10126,3,3,5,9,15,20,33,58,,
10128,1,1,5,10,15,21,32,60,,
10150,3,3,5,9,15,20,33,58,,
10151,3,3,5,9,15,20,33,58,,
10152,3,3,5,9,15,20,33,58,,
10153,3,3,5,9,15,20,33,58,,
10154,3,3,5,9,15,20,33,58,,
10155,3,3,5,9,15,20,33,58,,
10158,3,3,5,9,15,20,33,58,,
10165,3,3,5,9,15,19,33,59,,
10166,3,3,5,9,15,19,33,59,,
10167,3,3,5,9,15,19,33,59,,
10168,3,3,5,9,15,19,33,59,,
10169,0,1,5,10,14,21,32,60,,
10170,3,3,5,9,15,19,33,59,,
10171,3,3,5,9,15,20,33,59,,
10172,2,2,5,10,15,19,33,59,,
10173,3,3,5,9,15,19,33,59,,
10174,3,3,5,9,15,19,33,59,,
10175,3,3,5,9,15,19,33,59,,
10176,3,3,5,9,15,19,33,59,,
10177,2,2,5,10,15,19,33,59,,
10178,3,3,5,9,15,19,33,59,,
10179,3,3,5,9,15,19,33,59,,
10260,0,2,6,10,15,19,32,59,,
10268,0,2,6,10,15,19,32,59,,
10270,0,2,6,10,15,19,32,59,,
10271,0,2,6,10,15,19,32,59,,
10279,0,2,6,10,15,19,32,59,,
10280,0,2,6,10,15,19,32,59,,
10281,0,2,6,10,15,19,32,59,,
10282,0,2,6,10,15,19,32,59,,
10285,0,2,6,10,15,19,32,59,,
10286,0,2,6,10,15,19,32,59,,
10301,1,1,4,8,13,19,34,63,,
10302,3,1,4,9,13,17,34,62,,
10303,4,1,4,9,13,17,35,63,,
10304,0,1,4,8,13,19,34,62,,
10305,0,1,3,8,13,19,33,60,,
10306,2,1,1,8,13,17,34,60,,
10308,4,1,1,6,13,17,34,62,,
10309,8,0,2,7,13,17,35,62,,
10310,2,1,4,9,13,19,34,63,,
10311,4,1,2,7,13,17,35,62,,
10314,3,1,2,8,13,17,34,62,,
10459,2,2,4,11,14,21,32,61,,
10460,2,2,3,11,14,21,32,61,,
10461,0,1,3,11,14,21,32,61,,
10462,0,1,3,10,14,21,32,61,,
10463,4,1,4,10,14,21,33,61,,
10467,2,1,3,10,15,21,32,61,,
10502,4,1,2,7,12,21,32,60,,
10504,7,0,1,3,11,22,29,59,,
10509,7,0,1,1,6,16,28,60,,
10510,8,0,2,3,9,21,31,60,,
10522,8,0,2,7,12,21,32,60,,
10523,2,1,2,5,13,22,31,60,,
10524,18,0,0,1,4,17,31,60,,
10528,4,1,1,7,14,21,31,60,,
10530,2,1,1,6,12,22,31,60,,
10532,5,0,2,4,11,21,31,60,,
10533,4,1,2,7,12,21,32,60,,
10536,14,0,0,4,7,20,29,60,,
10538,7,0,2,7,15,20,31,60,,
10541,15,0,0,1,5,20,30,60,,
10543,5,0,2,7,14,21,31,60,,
10549,11,0,0,4,8,22,29,60,,
10550,4,1,3,9,13,20,32,61,,
10553,4,1,3,9,13,20,32,61,,
10562,8,0,1,3,9,22,31,60,,
10566,19,0,0,2,7,21,32,60,,
10570,7,0,1,4,9,22,31,60,,
10573,4,1,1,5,15,21,30,60,,
10577,2,1,1,5,13,22,30,60,,
10578,19,0,0,2,6,20,29,60,,
10580,5,0,1,8,14,21,30,60,,
10583,3,1,1,6,12,21,31,60,,
10589,12,0,0,1,6,20,29,60,,
10591,6,0,2,6,12,21,31,60,,
10594,5,0,1,5,10,22,30,60,,
10595,4,1,1,5,12,22,30,60,,
10598,16,0,0,3,6,20,31,60,,
10601,0,1,1,6,13,22,30,60,,
10604,1,1,1,6,12,22,30,60,,
10605,1,1,1,7,12,22,30,60,,
10606,0,1,1,6,12,22,31,60,,
10607,2,1,2,5,12,22,32,60,,
10701,7,0,3,9,14,20,33,61,,
10704,5,0,3,9,14,20,33,61,,
10705,5,0,3,10,15,20,33,61,,
10706,6,0,2,7,14,21,33,60,,
10707,5,0,2,8,13,20,31,60,,
10708,7,0,2,9,13,20,31,60,,
10710,6,0,2,8,13,20,32,60,,
10801,5,0,2,9,13,20,31,61,,
10803,4,1,3,9,13,20,32,61,,
10901,7,0,1,4,10,19,33,60,,
10918,22,0,0,0,2,15,32,60,,
10921,24,0,0,0,2,14,32,60,,
10924,27,0,0,0,2,12,32,60,,
10931,10,0,0,3,9,18,33,60,,
10940,30,0,0,0,0,7,32,60,,
10941,34,0,0,0,0,6,32,60,,
10952,5,0,1,4,11,21,30,60,,
10954,1,1,1,5,11,21,33,60,,
10958,29,0,0,0,1,11,33,60,,
10960,2,1,2,5,12,21,32,60,,
10962,3,1,2,6,12,21,33,60,,
10965,3,1,2,6,11,21,33,60,,
10970,6,0,1,4,7,19,31,60,,
10973,32,0,0,0,0,10,33,60,,
10977,3,1,1,4,11,21,33,60,,
10980,8,0,1,3,6,20,33,60,,
10989,2,1,1,5,11,21,32,60,,
10990,23,0,0,0,4,15,34,60,,
10994,0,1,1,5,12,21,33,60,,
11001,8,0,1,6,14,21,32,59,,
11003,8,0,1,6,13,21,32,59,,
11004,7,0,2,7,14,21,32,59,,
11021,7,0,2,7,15,21,32,61,,
11023,6,0,2,7,15,21,32,61,,
11030,8,0,2,7,15,21,31,60,,
11040,9,0,1,6,14,21,32,59,,
11042,8,0,2,7,14,21,32,59,,
11050,7,0,1,7,15,20,31,61,,
11096,10,0,0,7,10,20,33,58,,
11101,3,4,5,9,15,20,32,59,,
11103,3,2,5,9,14,21,31,60,,
11104,3,2,5,9,15,20,32,59,,
11106,2,2,5,9,15,21,31,60,,
11201,0,2,6,10,15,19,31,59,,
11204,5,0,3,8,13,20,31,60,,
11205,1,2,5,9,15,19,32,59,,
11206,2,2,4,9,15,19,32,59,,
11207,5,0,4,7,13,19,32,59,,
11209,3,1,3,8,14,20,31,62,,
11210,5,0,4,7,14,19,31,58,,
11211,2,2,4,9,15,19,32,59,,
11213,3,2,5,7,15,19,31,59,,
11214,4,1,3,8,14,20,31,61,,
11215,1,2,5,10,15,19,31,59,,
11217,1,2,5,10,15,19,31,59,,
11218,3,1,4,7,14,19,31,59,,
11219,4,1,3,8,13,20,31,60,,
11220,4,2,3,8,13,20,31,62,,
11222,3,2,5,9,15,19,32,59,,
11223,6,0,3,7,14,20,31,60,,
11225,2,2,5,7,14,19,31,59,,
11226,3,1,4,7,14,19,31,58,,
11229,6,0,3,7,12,19,31,60,,
11230,5,0,3,7,13,19,31,60,,
11231,1,2,6,10,15,19,31,59,,
11232,2,2,3,8,14,20,31,61,,
11233,3,1,4,7,15,19,32,58,,
11234,6,0,4,7,13,19,31,58,,
11235,7,0,3,7,13,20,31,60,,
11236,5,0,3,7,13,19,31,58,,
11237,3,3,4,9,15,19,32,60,,
11352,1,1,4,10,13,21,32,60,,
11354,1,1,3,10,13,21,32,60,,
11355,1,1,4,10,13,21,32,60,,
11356,2,2,5,11,13,21,32,60,,
11357,3,2,3,10,13,21,32,61,,
11361,4,1,3,8,14,21,32,60,,
11362,6,0,2,7,14,21,32,59,,
11365,3,1,3,8,13,21,32,59,,
11367,2,1,5,9,13,21,32,60,,
11368,0,1,5,10,13,21,32,60,,
11371,1,2,5,10,14,21,31,60,,
11374,1,1,5,9,13,20,32,60,,
11375,2,1,5,9,13,20,32,60,,
11377,2,2,5,9,14,20,32,60,,
11378,3,2,5,9,15,20,32,59,,
11385,3,1,4,8,15,20,32,59,,
11414,6,0,3,8,12,20,32,58,,
11415,3,1,5,8,13,20,32,59,,
11421,4,1,4,8,13,20,32,58,,
11423,5,0,2,7,14,21,32,59,,
11426,7,0,2,6,14,21,32,59,,
11430,6,0,2,8,12,20,32,58,,
11434,6,0,1,7,11,20,33,59,,
11435,4,1,3,8,13,20,33,59,,
11501,8,0,1,6,13,21,31,59,,
11509,13,0,0,7,8,20,33,58,,
11510,8,0,1,4,10,20,31,59,,
11514,6,0,1,4,13,21,31,59,,
11516,11,0,0,7,12,20,33,58,,
11520,7,0,1,3,10,20,31,59,,
11530,8,0,1,6,12,21,31,59,,
11542,11,0,0,5,13,21,30,60,,
11545,8,0,1,5,12,21,30,60,,
11547,10,0,0,5,15,21,31,60,,
11548,8,0,1,5,15,21,31,60,,
11550,7,0,1,5,12,21,31,59,,
11552,8,0,1,6,12,21,32,59,,
11553,6,0,1,4,10,21,31,59,,
11554,4,1,1,5,10,21,31,59,,
11556,7,0,1,5,12,21,31,59,,
11557,11,0,0,6,12,20,33,59,,
11559,11,0,0,7,10,20,33,58,,
11560,11,0,0,6,13,21,31,60,,
11561,13,0,0,3,10,20,33,58,,
11563,11,0,0,6,12,20,32,59,,
11566,5,0,1,3,10,21,31,59,,
11568,6,0,1,5,13,20,31,60,,
11570,9,0,1,6,12,20,32,59,,
11572,10,0,0,5,11,20,32,59,,
11575,6,0,1,3,10,21,31,59,,
11576,9,0,1,7,15,20,31,60,,
11577,8,0,1,7,15,20,31,60,,
11580,9,0,1,6,13,20,32,59,,
11581,10,0,0,6,12,20,33,59,,
11590,4,1,1,6,12,20,31,60,,
11596,8,0,1,7,15,21,31,60,,
11598,11,0,0,7,12,20,33,59,,
11690,11,0,0,7,10,20,32,58,,
11691,11,0,0,7,10,20,32,58,,
11694,11,0,0,6,12,19,31,59,,
11701,5,0,1,3,6,19,29,58,,
11704,6,0,1,3,6,18,27,57,,
11706,6,0,2,3,4,18,27,57,,
11713,14,0,0,2,3,9,27,57,,
11714,0,1,1,5,10,20,29,60,,
11716,6,0,2,3,5,13,28,58,,
11717,2,2,2,3,5,18,28,57,,
11722,2,2,2,3,5,16,28,57,,
11724,9,0,1,5,9,19,28,59,,
11725,3,2,2,3,7,18,28,57,,
11726,6,0,1,3,6,18,28,58,,
11729,7,0,3,3,8,18,27,57,,
11731,6,0,2,4,8,19,28,58,,
11733,9,0,2,3,6,15,28,58,,
11735,2,1,1,3,10,19,29,59,,
11738,8,0,2,2,5,12,28,57,,
11739,6,0,2,3,3,16,28,57,,
11740,8,0,2,4,8,18,28,58,,
11741,7,0,2,2,5,13,28,58,,
11742,8,0,2,2,5,11,28,57,,
11743,9,0,1,4,9,18,28,58,,
11746,8,0,3,3,9,18,28,58,,
11747,5,0,3,3,9,18,28,59,,
11749,9,0,2,2,5,11,27,57,,
11751,5,0,2,3,4,16,28,57,,
11753,4,1,1,5,11,21,30,60,,
11754,4,2,2,4,6,19,28,58,,
11756,1,1,1,5,10,20,30,59,,
11757,6,0,1,3,5,18,28,58,,
11758,4,1,1,3,8,18,29,59,,
11762,4,1,1,3,9,18,29,59,,
11763,11,0,0,2,4,11,27,57,,
11764,14,0,0,3,6,11,28,57,,
11767,3,2,2,3,5,16,28,58,,
11768,8,0,2,4,8,19,28,59,,
11771,8,0,1,7,13,20,30,59,,
11772,11,0,0,2,4,11,27,57,,
11776,10,0,0,3,6,12,28,57,,
11778,17,0,0,2,5,11,29,57,,
11779,5,0,2,2,5,14,28,58,,
11780,5,0,2,3,5,16,28,58,,
11786,18,0,0,2,5,11,29,57,,
11787,2,2,2,3,5,17,28,58,,
11788,0,2,2,3,5,16,28,58,,
11790,7,0,2,3,6,16,28,58,,
11791,5,0,1,5,11,20,28,59,,
11793,3,1,1,4,9,20,30,59,,
11795,8,0,2,3,6,18,27,56,,
11797,5,0,1,4,11,20,29,59,,
11801,2,1,1,5,10,21,30,60,,
11802,3,1,1,5,10,21,30,60,,
11803,2,1,1,5,10,20,28,60,,
11804,2,1,1,3,10,19,28,60,,
11901,29,0,0,0,1,8,29,56,,
11932,28,0,0,0,1,5,26,53,,
11933,25,0,0,0,4,9,29,57,,
11934,21,0,0,0,2,6,28,56,,
11937,24,0,0,0,1,2,23,52,,
11940,24,0,0,0,2,6,29,56,,
11946,36,0,0,0,0,6,27,55,,
11952,29,0,0,0,1,7,28,54,,
11959,31,0,0,0,0,7,29,55,,
11967,18,0,0,2,2,7,28,57,,
11968,34,0,0,0,0,5,26,54,,
11980,14,0,0,2,4,11,28,57,,
12010,29,0,0,0,1,2,7,53,,
12047,8,0,1,1,1,2,11,55,,
12065,13,0,0,1,1,2,9,55,,
12077,4,1,1,1,1,1,11,59,,
12078,38,0,0,0,0,3,7,52,,
12084,8,0,1,1,1,2,10,58,,
12106,17,0,0,1,1,2,17,58,,
12110,6,0,1,1,1,2,10,55,,
12120,24,0,0,0,1,1,14,58,,
12130,14,0,0,1,1,1,17,58,,
12131,36,0,0,0,0,1,12,59,,
12151,19,0,0,1,2,2,8,54,,
12158,7,0,1,1,1,1,11,59,,
12167,46,0,0,0,0,1,9,60,,
12180,6,0,1,1,1,2,12,54,,
12188,11,0,0,1,1,2,11,55,,
12201,0,1,1,1,1,2,11,59,,
12202,0,1,1,1,1,2,10,59,,
12203,4,1,1,1,1,2,10,58,,
12204,2,1,1,1,1,2,11,57,,
12205,5,0,1,1,1,2,10,57,,
12207,0,1,1,1,1,2,11,58,,
12211,3,1,1,1,1,2,10,57,,
12212,4,1,1,1,1,2,10,58,,
12260,1,1,1,1,1,2,10,57,,
12301,14,0,0,1,1,2,9,55,,
12302,17,0,0,1,1,2,8,54,,
12304,12,0,0,1,1,2,10,55,,
12305,14,0,0,1,1,2,9,55,,
12306,15,0,0,1,1,2,9,56,,
12308,14,0,0,1,1,2,9,54,,
12309,12,0,0,1,1,2,9,54,,
12345,14,0,0,1,1,2,9,55,,
12401,16,0,0,1,1,2,30,61,,
12414,30,0,0,0,0,2,19,60,,
12503,27,0,0,0,1,4,27,60,,
12524,11,0,0,1,2,10,29,61,,
12533,10,0,0,1,2,10,29,61,,
12534,27,0,0,0,1,2,17,58,,
12540,9,0,1,1,2,8,27,62,,
12545,13,0,0,1,1,5,28,60,,
12547,4,1,1,1,1,7,29,62,,
12550,15,0,0,1,2,11,31,60,,
12553,17,0,0,1,2,11,31,60,,
12563,9,0,1,1,5,10,28,61,,
12564,14,0,0,2,3,10,28,61,,
12572,15,0,0,1,1,2,28,61,,
12586,16,0,0,1,1,8,32,58,,
12601,0,1,1,1,1,6,28,62,,
12603,2,1,1,1,2,7,28,62,,
12701,40,0,0,0,0,1,30,61,,
12734,43,0,0,0,0,1,27,61,,
12748,46,0,0,0,0,1,26,58,,
12751,39,0,0,0,0,1,28,61,,
12775,35,0,0,0,0,2,31,61,,
12801,1,1,1,1,1,3,7,50,,
12804,0,1,1,1,1,3,7,50,,
12817,22,0,0,0,1,2,7,43,,
12828,6,0,1,1,1,3,8,49,,
12866,17,0,0,1,2,2,7,52,,
12919,34,0,0,0,0,1,3,14,,
12930,67,0,0,0,0,0,1,11,,
12955,42,0,0,0,0,1,3,14,,
13021,22,0,0,1,1,1,5,29,,
13027,12,0,0,1,1,1,5,25,,
13045,31,0,0,0,0,3,7,52,,
13057,5,0,1,1,1,2,5,39,,
