,nearest_miles,Intensity_5 miles,Intensity_10 miles,Intensity_20 miles,Intensity_30 miles,intensity_50 miles,Intensity_100 miles,Intensity_200 miles,,
2093,15,0,0,2,5,8,17,46,,
2108,0,1,2,3,3,9,16,42,,
2109,0,1,2,3,3,8,16,42,,
2110,0,1,2,3,3,9,16,42,,
2111,0,1,2,3,3,9,16,42,,
2114,0,1,2,3,3,9,16,42,,
2115,2,1,2,3,3,9,16,43,,
2116,1,1,2,3,3,9,16,42,,
2117,1,1,2,3,3,9,16,42,,
2118,1,1,2,3,3,9,16,42,,
2119,2,1,1,3,3,9,16,43,,
2122,4,1,1,3,3,8,16,43,,
2124,5,0,1,3,3,8,15,43,,
2127,2,1,1,3,3,8,16,42,,
2128,2,1,2,2,3,9,16,41,,
2129,0,1,2,3,3,9,16,42,,
2132,7,0,1,3,3,8,15,44,,
2134,3,1,2,3,3,9,16,43,,
2135,4,1,2,3,3,9,16,43,,
2136,8,0,1,3,3,8,15,44,,
2137,9,0,1,3,3,8,15,44,,
2138,3,1,2,2,3,9,16,43,,
2139,1,1,2,3,3,9,16,42,,
2140,3,1,2,2,3,9,16,43,,
2141,0,1,2,3,3,9,16,42,,
2142,0,1,2,3,3,9,16,42,,
2143,2,1,2,2,3,8,16,42,,
2144,3,1,2,2,3,9,16,42,,
2148,4,2,2,2,3,9,16,41,,
2150,2,1,2,2,3,9,16,41,,
2151,4,1,2,2,3,9,16,41,,
2155,4,2,2,2,3,9,16,42,,
2169,8,0,1,3,3,8,15,43,,
2170,7,0,1,3,3,8,15,42,,
2171,5,0,1,3,3,8,16,42,,
2176,2,1,2,2,3,9,16,41,,
2180,0,1,2,2,4,9,16,42,,
2184,8,0,1,3,3,8,15,43,,
2199,1,1,2,3,3,9,16,42,,
2205,1,1,2,2,2,9,16,42,,
2210,1,1,2,3,3,9,16,42,,
2211,0,1,2,3,3,9,16,42,,
2215,2,1,2,3,3,9,16,43,,
2301,0,1,1,2,4,7,15,44,,
2322,2,1,1,2,4,7,15,44,,
2324,8,0,1,1,3,7,14,43,,
2346,16,0,0,1,2,6,14,43,,
2351,4,1,1,2,3,7,15,43,,
2368,5,0,1,2,3,8,15,43,,
2370,7,0,1,2,3,7,15,42,,
2375,5,0,1,1,4,7,15,43,,
2379,4,1,1,1,3,7,15,43,,
2420,6,0,1,2,4,9,16,43,,
2421,7,0,1,2,4,9,16,43,,
2445,4,1,1,3,3,9,16,43,,
2446,3,1,2,3,3,9,16,43,,
2451,10,0,0,2,5,9,16,44,,
2452,7,0,2,2,3,9,16,43,,
2453,8,0,1,2,4,9,16,44,,
2454,8,0,1,2,4,9,16,44,,
2457,10,0,0,3,4,9,15,44,,
2458,6,0,1,3,3,9,16,43,,
2459,7,0,1,3,3,9,15,44,,
2460,7,0,1,2,3,9,16,44,,
2462,9,0,1,2,4,9,15,44,,
2464,8,0,1,3,3,9,15,44,,
